,,,,,
,,,,,
,,,,,
JSON,name,ring,quadrant,isNew,description
"{""name"": ""Elasticsearch"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence.""},",Elasticsearch,Hold,Platforms,FALSE,"Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence."
"{""name"": ""Filebeat"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence.""},",Filebeat,Hold,Platforms,FALSE,"Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence."
"{""name"": ""Kibana"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence.""},",Kibana,Hold,Platforms,FALSE,"Will be deprecated as we move to NCP. Widely used for logging, visualization, and analytics, the ELK stack (Elasticsearch, Filebeat, Kibana) helps in centralized logging, real-time analysis, and operational intelligence."
"{""name"": ""MongoDB"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Transitioning away due to high infrastructure costs at scale, with PostgreSQL and other solutions being adopted for their lower cost and better scalability.""},",MongoDB,Hold,Platforms,FALSE,"Transitioning away due to high infrastructure costs at scale, with PostgreSQL and other solutions being adopted for their lower cost and better scalability."
"{""name"": ""Snowflake"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Primary data warehouse platform, offering high performance, scalability, and ease of use for big data analytics and complex queries across large datasets.""},",Snowflake,Adopt,Platforms,FALSE,"Primary data warehouse platform, offering high performance, scalability, and ease of use for big data analytics and complex queries across large datasets."
"{""name"": ""Elastic Stack"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Comprehensive tool for searching, analyzing, and visualizing data in real time, aiding in quick insights and operational efficiencies through its powerful search capabilities.""},",Elastic Stack,Adopt,Platforms,FALSE,"Comprehensive tool for searching, analyzing, and visualizing data in real time, aiding in quick insights and operational efficiencies through its powerful search capabilities."
"{""name"": ""Redis"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Preferred for in-memory data structure store and caching, providing lightning-fast data access, real-time analytics, and session management.""},",Redis,Adopt,Platforms,FALSE,"Preferred for in-memory data structure store and caching, providing lightning-fast data access, real-time analytics, and session management."
"{""name"": ""PostgreSQL"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Main database platform replacing MongoDB and MySQL, known for its robustness, scalability, and support for advanced data types and indexing, crucial for our data-intensive applications.""},",PostgreSQL,Adopt,Platforms,FALSE,"Main database platform replacing MongoDB and MySQL, known for its robustness, scalability, and support for advanced data types and indexing, crucial for our data-intensive applications."
"{""name"": ""Kafka"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Being evaluated for event streaming and real-time data processing, promising to enhance our data pipelines, real-time analytics, and integration capabilities across services.""},",Kafka,Adopt,Platforms,TRUE,"Being evaluated for event streaming and real-time data processing, promising to enhance our data pipelines, real-time analytics, and integration capabilities across services."
"{""name"": ""Segment"", ""ring"": ""Trial"", ""quadrant"": ""Platforms"", ""description"": ""Under trial for customer data platform needs, aiming to streamline data collection, integration, and management across various marketing and analytics tools.""},",Segment,Trial,Platforms,TRUE,"Under trial for customer data platform needs, aiming to streamline data collection, integration, and management across various marketing and analytics tools."
"{""name"": ""Optimizely"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Provides A/B testing and multivariate testing tools, website personalization, and feature toggle capabilities, as well as web content management and digital commerce.""},",Optimizely,Adopt,Platforms,TRUE,"Provides A/B testing and multivariate testing tools, website personalization, and feature toggle capabilities, as well as web content management and digital commerce."
"{""name"": ""Heap"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Digital insights platform that gives you complete understanding of your customers' digital journeys""},",Heap,Adopt,Platforms,TRUE,Digital insights platform that gives you complete understanding of your customers' digital journeys
"{""name"": ""Looker"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Evaluating for data analytics and business intelligence, offering powerful data visualization, exploration, and reporting capabilities to empower data-driven decision-making.""},",Looker,Adopt,Platforms,TRUE,"Evaluating for data analytics and business intelligence, offering powerful data visualization, exploration, and reporting capabilities to empower data-driven decision-making."
"{""name"": ""Lambda"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""Being assessed for serverless computing solutions, which could offer reduced operational overhead, automatic scaling, and cost-effective execution for event-driven applications.""},",Lambda,Hold,Platforms,FALSE,"Being assessed for serverless computing solutions, which could offer reduced operational overhead, automatic scaling, and cost-effective execution for event-driven applications."
"{""name"": ""Temporal"", ""ring"": ""Trial"", ""quadrant"": ""Platforms"", ""description"": ""Platform under evaluation for managing workflows across our microservices architecture, promising improved reliability, state management, and scalability for complex application logic.""},",Temporal,Trial,Platforms,FALSE,"Platform under evaluation for managing workflows across our microservices architecture, promising improved reliability, state management, and scalability for complex application logic."
"{""name"": ""MySQL"", ""ring"": ""Hold"", ""quadrant"": ""Platforms"", ""description"": ""We are moving away from MySQL in favor of more scalable and cost-effective database solutions, with PostgreSQL as the primary replacement due to its advanced features and performance.""},",MySQL,Hold,Platforms,FALSE,"We are moving away from MySQL in favor of more scalable and cost-effective database solutions, with PostgreSQL as the primary replacement due to its advanced features and performance."
"{""name"": ""Grafana stack "", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""Grafana, Loki, Tempo, Grafana Agent etc""},",Grafana stack ,Adopt,Platforms,FALSE,"Grafana, Loki, Tempo, Grafana Agent etc"
"{""name"": ""Cloudflare"", ""ring"": ""Adopt"", ""quadrant"": ""Platforms"", ""description"": ""DDoS protection, WAF, rate limiting, caching etc.""},",Cloudflare,Adopt,Platforms,FALSE,"DDoS protection, WAF, rate limiting, caching etc."
"{""name"": ""Helm"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""<p><strong><a href=\""http://helm.sh/\"">Helm</a></strong> is a package manager for <a href=\""/radar/platforms/kubernetes\"">Kubernetes</a>. It comes with a repository of curated Kubernetes applications that are maintained in the official <a href=\""https://github.com/helm/charts\"">Charts repository</a>. Since we last talked about Helm, Helm 3 has been released, and the most significant change is the removal of Tiller, the server-side component of Helm 2. The benefit of a design without Tiller is that you can only make changes to the Kubernetes cluster from the client side, that is, you can only modify the cluster according to the permissions you have as a user of the Helm command. We've used Helm in a number of client projects and its dependency management, templating and hook mechanism has greatly simplified the application lifecycle management in Kubernetes.</p>""},",Helm,Adopt,Tools,FALSE,"<p><strong><a href=""http://helm.sh/"">Helm</a></strong> is a package manager for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. It comes with a repository of curated Kubernetes applications that are maintained in the official <a href=""https://github.com/helm/charts"">Charts repository</a>. Since we last talked about Helm, Helm 3 has been released, and the most significant change is the removal of Tiller, the server-side component of Helm 2. The benefit of a design without Tiller is that you can only make changes to the Kubernetes cluster from the client side, that is, you can only modify the cluster according to the permissions you have as a user of the Helm command. We've used Helm in a number of client projects and its dependency management, templating and hook mechanism has greatly simplified the application lifecycle management in Kubernetes.</p>"
"{""name"": ""Airflow"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""<p><strong><a href=\""https://airflow.apache.org/\"">Airflow</a></strong> remains our most widely used and favorite open-source workflow management tool for data-processing pipelines as directed acyclic graphs (DAGs). This is a growing space with open-source tools such as <a href=\""https://github.com/spotify/luigi\"">Luigi</a> and <a href=\""https://github.com/argoproj/argo\"">Argo</a> and vendor-specific tools such as <a href=\""https://azure.microsoft.com/en-us/services/data-factory/\"">Azure Data Factory</a> or <a href=\""https://aws.amazon.com/datapipeline/\"">AWS Data Pipeline</a>. However, Airflow differentiates itself with its programmatic definition of workflows over limited low-code configuration files, support for automated testing, open-source and multiplatform installation, rich set of integration points to the data ecosystem and large community support. In decentralized data architectures such as <a href=\""/radar/techniques/data-mesh\"">data mesh</a>, however, Airflow currently falls short as a centralized workflow orchestration.</p>""},",Airflow,Adopt,Tools,FALSE,"<p><strong><a href=""https://airflow.apache.org/"">Airflow</a></strong> remains our most widely used and favorite open-source workflow management tool for data-processing pipelines as directed acyclic graphs (DAGs). This is a growing space with open-source tools such as <a href=""https://github.com/spotify/luigi"">Luigi</a> and <a href=""https://github.com/argoproj/argo"">Argo</a> and vendor-specific tools such as <a href=""https://azure.microsoft.com/en-us/services/data-factory/"">Azure Data Factory</a> or <a href=""https://aws.amazon.com/datapipeline/"">AWS Data Pipeline</a>. However, Airflow differentiates itself with its programmatic definition of workflows over limited low-code configuration files, support for automated testing, open-source and multiplatform installation, rich set of integration points to the data ecosystem and large community support. In decentralized data architectures such as <a href=""/radar/techniques/data-mesh"">data mesh</a>, however, Airflow currently falls short as a centralized workflow orchestration.</p>"
"{""name"": ""Traefik"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Used as internal http router inside Kubernetes environments as Ingress controller.""},",Traefik,Adopt,Tools,FALSE,Used as internal http router inside Kubernetes environments as Ingress controller.
"{""name"": ""Keycloak"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""Open source identity and access management solution.""},",Keycloak,Trial,Tools,FALSE,Open source identity and access management solution.
"{""name"": ""Dependabot"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Dependency and vulnerability management in third party libraries.""},",Dependabot,Adopt,Tools,FALSE,Dependency and vulnerability management in third party libraries.
"{""name"": ""Renovatebot"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Dependency and vulnerability management in third party libraries.""},",Renovatebot,Adopt,Tools,FALSE,Dependency and vulnerability management in third party libraries.
"{""name"": ""Sentry"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""<p><strong><a href=\""https://sentry.io/\"">Sentry</a></strong> is a cross-platform application monitoring tool with a focus on error reporting. Tools like Sentry distinguish themselves from traditional logging solutions such as the <a href=\""https://www.elastic.co/elk-stack\"">ELK Stack</a> in their focus on discovering, investigating and fixing errors. Sentry has been around for a while and supports several languages and frameworks. We've used Sentry in many projects, and it has been really useful in tracking errors, finding out if a commit actually fixed an issue and alerting us if an issue resurfaces due to a regression.</p>""},",Sentry,Adopt,Tools,FALSE,"<p><strong><a href=""https://sentry.io/"">Sentry</a></strong> is a cross-platform application monitoring tool with a focus on error reporting. Tools like Sentry distinguish themselves from traditional logging solutions such as the <a href=""https://www.elastic.co/elk-stack"">ELK Stack</a> in their focus on discovering, investigating and fixing errors. Sentry has been around for a while and supports several languages and frameworks. We've used Sentry in many projects, and it has been really useful in tracking errors, finding out if a commit actually fixed an issue and alerting us if an issue resurfaces due to a regression.</p>"
"{""name"": ""Terraform"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Infrastructure automation to provision and manage resources in any cloud or data center.""},",Terraform,Adopt,Tools,TRUE,Infrastructure automation to provision and manage resources in any cloud or data center.
"{""name"": ""Terragrunt"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Terragrunt is a thin wrapper that provides extra tools for keeping your configurations DRY, working with multiple Terraform modules, and managing remote state.""},",Terragrunt,Adopt,Tools,TRUE,"Terragrunt is a thin wrapper that provides extra tools for keeping your configurations DRY, working with multiple Terraform modules, and managing remote state."
"{""name"": ""Chaos Monkey"", ""ring"": ""Assess"", ""quadrant"": ""Tools"", ""description"": ""A tool to test the resiliency and recoverability of Amazon Web Services (AWS) infrastructure""},",Chaos Monkey,Assess,Tools,FALSE,A tool to test the resiliency and recoverability of Amazon Web Services (AWS) infrastructure
"{""name"": ""Hashicorp Vault"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Vault secures, stores, and tightly controls access to tokens, passwords, certificates, API keys, and other secrets critical in modern computing""},",Hashicorp Vault,Adopt,Tools,FALSE,"Vault secures, stores, and tightly controls access to tokens, passwords, certificates, API keys, and other secrets critical in modern computing"
"{""name"": ""K8s Operators"", ""ring"": ""Hold"", ""quadrant"": ""Tools"", ""description"": ""An operator is a Kubernetes extension that automates the deployment of an application.""},",K8s Operators,Hold,Tools,TRUE,An operator is a Kubernetes extension that automates the deployment of an application.
"{""name"": ""Skaffold"", ""ring"": ""Hold"", ""quadrant"": ""Tools"", ""description"": ""Was used from SRE side as local environment tool but was deprecated in favour of kitt-cli. Should be removed unless it's used for some other reason.""},",Skaffold,Hold,Tools,TRUE,Was used from SRE side as local environment tool but was deprecated in favour of kitt-cli. Should be removed unless it's used for some other reason.
"{""name"": ""Angular"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A popular front-end web application framework for building dynamic single-page applications.""},",Angular,Adopt,Languages and Frameworks,FALSE,A popular front-end web application framework for building dynamic single-page applications.
"{""name"": ""TypeScript"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A statically typed superset of JavaScript that enhances code quality, maintainability and development speed.""},",TypeScript,Adopt,Languages and Frameworks,FALSE,"A statically typed superset of JavaScript that enhances code quality, maintainability and development speed."
"{""name"": ""RxJS"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""Library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code.""},",RxJS,Adopt,Languages and Frameworks,FALSE,"Library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code."
"{""name"": ""Storybook"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An open-source tool for developing UI components in isolation, enabling better testing and documentation.""},",Storybook,Adopt,Languages and Frameworks,FALSE,"An open-source tool for developing UI components in isolation, enabling better testing and documentation."
"{""name"": ""Canvas"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An HTML5 element used for drawing graphics via scripting (usually JavaScript).""},",Canvas,Adopt,Languages and Frameworks,FALSE,An HTML5 element used for drawing graphics via scripting (usually JavaScript).
"{""name"": ""3D rendering WebGL"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A JavaScript API for rendering interactive 3D graphics within any compatible web browser without plugins.""},",3D rendering WebGL,Adopt,Languages and Frameworks,FALSE,A JavaScript API for rendering interactive 3D graphics within any compatible web browser without plugins.
"{""name"": ""Node.js"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A runtime environment that allows for server-side scripting using JavaScript, facilitating scalable network applications.""},",Node.js,Adopt,Languages and Frameworks,FALSE,"A runtime environment that allows for server-side scripting using JavaScript, facilitating scalable network applications."
"{""name"": ""Jasmine"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A behavior-driven development framework for testing JavaScript code, offering a clean and easy-to-read syntax.""},",Jasmine,Adopt,Languages and Frameworks,FALSE,"A behavior-driven development framework for testing JavaScript code, offering a clean and easy-to-read syntax."
"{""name"": ""Karma"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A test runner that fits into a continuous integration workflow, enabling real-time feedback on code changes.""},",Karma,Hold,Languages and Frameworks,FALSE,"A test runner that fits into a continuous integration workflow, enabling real-time feedback on code changes."
"{""name"": ""SCSS"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A preprocessor scripting language that is interpreted or compiled into CSS, offering more powerful styling capabilities.""},",SCSS,Adopt,Languages and Frameworks,FALSE,"A preprocessor scripting language that is interpreted or compiled into CSS, offering more powerful styling capabilities."
"{""name"": ""Symfony"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A PHP framework for web applications and a set of reusable PHP components, facilitating rapid development.""},",Symfony,Adopt,Languages and Frameworks,FALSE,"A PHP framework for web applications and a set of reusable PHP components, facilitating rapid development."
"{""name"": ""Doctrine"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An object-relational mapping (ORM) library for PHP that provides transparent persistence for PHP objects.""},",Doctrine,Adopt,Languages and Frameworks,FALSE,An object-relational mapping (ORM) library for PHP that provides transparent persistence for PHP objects.
"{""name"": ""PHP"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A widely-used open source scripting language especially suited for web development and embedded into HTML.""},",PHP,Adopt,Languages and Frameworks,FALSE,A widely-used open source scripting language especially suited for web development and embedded into HTML.
"{""name"": ""Scala"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A high-level programming language that combines object-oriented and functional programming paradigms.""},",Scala,Hold,Languages and Frameworks,FALSE,A high-level programming language that combines object-oriented and functional programming paradigms.
"{""name"": ""SQL"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A standard language for managing and manipulating relational databases, essential for database interactions.""},",SQL,Adopt,Languages and Frameworks,FALSE,"A standard language for managing and manipulating relational databases, essential for database interactions."
"{""name"": ""Python"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A versatile, high-level programming language known for its readability and broad applicability in various domains.""},",Python,Adopt,Languages and Frameworks,FALSE,"A versatile, high-level programming language known for its readability and broad applicability in various domains."
"{""name"": ""JavaScript"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""On hold as this is being replaced by TypeScript""},",JavaScript,Hold,Languages and Frameworks,FALSE,On hold as this is being replaced by TypeScript
"{""name"": ""Golang"", ""ring"": ""Assess"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A statically typed, compiled programming language designed for simplicity and efficiency, popular for backend development.""},",Golang,Assess,Languages and Frameworks,TRUE,"A statically typed, compiled programming language designed for simplicity and efficiency, popular for backend development."
"{""name"": ""Babylon.js"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A powerful, open-source 3D engine based on WebGL, enabling the creation of complex 3D scenes in the browser.""},",Babylon.js,Adopt,Languages and Frameworks,TRUE,"A powerful, open-source 3D engine based on WebGL, enabling the creation of complex 3D scenes in the browser."
"{""name"": ""WebGPU"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A JavaScript API provided by a web browser that enables webpage scripts to efficiently utilize a device's graphics processing unit (GPU).""},",WebGPU,Adopt,Languages and Frameworks,TRUE,A JavaScript API provided by a web browser that enables webpage scripts to efficiently utilize a device's graphics processing unit (GPU).
"{""name"": ""Laravel"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A PHP framework for web artisans, providing an elegant syntax and tools for rapid web application development.""},",Laravel,Hold,Languages and Frameworks,FALSE,"A PHP framework for web artisans, providing an elegant syntax and tools for rapid web application development."
"{""name"": ""Backbone"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A lightweight JavaScript library adding structure to web applications by providing models, collections, and views.""},",Backbone,Hold,Languages and Frameworks,FALSE,"A lightweight JavaScript library adding structure to web applications by providing models, collections, and views."
"{""name"": ""Jupyter Notebook"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An open-source web application that allows the creation and sharing of documents containing live code, equations, visualizations, and narrative text.""},",Jupyter Notebook,Adopt,Languages and Frameworks,FALSE,"An open-source web application that allows the creation and sharing of documents containing live code, equations, visualizations, and narrative text."
"{""name"": ""EJS"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A simple templating language that lets you generate HTML markup with plain JavaScript.""},",EJS,Hold,Languages and Frameworks,FALSE,A simple templating language that lets you generate HTML markup with plain JavaScript.
"{""name"": ""Rust"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A systems programming language focused on safety, speed, and concurrency.""},",Rust,Adopt,Languages and Frameworks,FALSE,"A systems programming language focused on safety, speed, and concurrency."
"{""name"": ""Handlebars"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A popular templating engine that allows you to build semantic templates effectively.""},",Handlebars,Hold,Languages and Frameworks,FALSE,A popular templating engine that allows you to build semantic templates effectively.
"{""name"": ""Groovy"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An agile and dynamic language for the Java platform aimed at improving developer productivity.""},",Groovy,Hold,Languages and Frameworks,FALSE,An agile and dynamic language for the Java platform aimed at improving developer productivity.
"{""name"": ""LookML"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A language for describing dimensions, aggregates, calculations, and data relationships in SQL databases.""},",LookML,Adopt,Languages and Frameworks,FALSE,"A language for describing dimensions, aggregates, calculations, and data relationships in SQL databases."
"{""name"": ""Java"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A high-level, class-based, object-oriented programming language designed to have as few implementation dependencies as possible.""},",Java,Hold,Languages and Frameworks,FALSE,"A high-level, class-based, object-oriented programming language designed to have as few implementation dependencies as possible."
"{""name"": ""PLpgSQL"", ""ring"": ""Assess"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A procedural language supported by PostgreSQL for writing functions and trigger procedures.""},",PLpgSQL,Assess,Languages and Frameworks,FALSE,A procedural language supported by PostgreSQL for writing functions and trigger procedures.
"{""name"": ""Lua"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A lightweight, high-level, multi-paradigm programming language designed primarily for embedded use in applications.""},",Lua,Hold,Languages and Frameworks,FALSE,"A lightweight, high-level, multi-paradigm programming language designed primarily for embedded use in applications."
"{""name"": ""Ruby"", ""ring"": ""Hold"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A dynamic, open source programming language with a focus on simplicity and productivity.""},",Ruby,Hold,Languages and Frameworks,FALSE,"A dynamic, open source programming language with a focus on simplicity and productivity."
"{""name"": ""Flutter"", ""ring"": ""Trial"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""Flutter is an open-source UI software development toolkit by Google for building natively compiled applications for mobile, web, and desktop from a single codebase.""},",Flutter,Trial,Languages and Frameworks,TRUE,"Flutter is an open-source UI software development toolkit by Google for building natively compiled applications for mobile, web, and desktop from a single codebase."
"{""name"": ""Microservices"", ""ring"": ""Adopt"", ""quadrant"": ""Techniques"", ""description"": ""An architectural pattern that arranges an application as a collection of loosely coupled, fine-grained services, communicating through lightweight protocols.""},",Microservices,Adopt,Techniques,FALSE,"An architectural pattern that arranges an application as a collection of loosely coupled, fine-grained services, communicating through lightweight protocols."
"{""name"": ""CQRS/ES"", ""ring"": ""Trial"", ""quadrant"": ""Techniques"", ""description"": ""A pattern in Domain Driven Design that uses separate write and read models for application objects and interconnects them with events.""},",CQRS/ES,Trial,Techniques,FALSE,A pattern in Domain Driven Design that uses separate write and read models for application objects and interconnects them with events.
"{""name"": ""OOP design"", ""ring"": ""Adopt"", ""quadrant"": ""Techniques"", ""description"": ""Object Oriented Programming allows objects to interact with each other using four basic principles: encapsulation, inheritance, polymorphism, and abstraction.""},",OOP design,Adopt,Techniques,FALSE,"Object Oriented Programming allows objects to interact with each other using four basic principles: encapsulation, inheritance, polymorphism, and abstraction."
"{""name"": ""TDD"", ""ring"": ""Assess"", ""quadrant"": ""Techniques"", ""description"": ""Test-driven development (TDD) is a software development practice that emphasizes writing tests before writing the actual code""},",TDD,Assess,Techniques,FALSE,Test-driven development (TDD) is a software development practice that emphasizes writing tests before writing the actual code
"{""name"": ""Domain Driven Design"", ""ring"": ""Trial"", ""quadrant"": ""Techniques"", ""description"": ""Focusing on modeling software to match a domain according to input from that domain's experts.""},",Domain Driven Design,Trial,Techniques,FALSE,Focusing on modeling software to match a domain according to input from that domain's experts.
